# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
main,FRONTEND,,,4,105,3000,1103021,1146074450,72608816696,0,0,171542,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,55,,,,0,1645242,75608,205827,608,52,,0,132,1927343,,,0,0,0,0,,,,,,,,
web_back,front05,0,0,0,13,,224026,240369391,4870101990,,0,,0,9,2,4,UP,1,1,0,2,11,116328,2434,,1,3,5,,110892,,2,0,,24,L7OK,200,14,0,219678,3308,995,27,0,0,,,,535,8,,,,,7,OK,,0,1,198,2527,
web_back,front06,0,0,0,15,,201651,145932371,4493772790,,0,,0,17,0,0,UP,1,1,0,24,10,116556,4204,,1,3,6,,110390,,2,0,,24,L7OK,200,7,0,197313,3327,967,12,0,0,,,,502,2,,,,,4,OK,,0,1,150,2532,
web_back,front01,0,0,0,16,,184125,158729322,4231591880,,0,,0,52,0,0,UP,1,1,0,13,13,118743,68797,,1,3,1,,98741,,2,0,,23,L7OK,200,9,0,180129,2885,1031,13,0,0,,,,466,4,,,,,7,OK,,0,1,141,2757,
web_back,BACKEND,0,0,0,22,300,609796,545031084,13595466660,0,0,,0,78,2,4,UP,3,3,0,,0,810791,0,,1,3,0,,320023,,1,0,,71,,,,0,597120,9520,2993,123,34,,,,,1503,14,0,0,0,0,4,,,0,1,163,2778,
api_bak,front05,0,0,0,4,,19740,7295396,8383445231,,0,,0,3,0,1,UP,1,1,0,2,11,116328,2434,,1,4,5,,18273,,2,0,,5,L7OK,200,12,23,19730,0,5,0,0,0,,,,6,0,,,,,132,OK,,0,0,590,698,
api_bak,front06,0,0,0,5,,18732,6699876,8437854697,,0,,0,5,0,0,UP,1,1,0,23,10,116556,4199,,1,4,6,,18186,,2,0,,6,L7OK,200,7,12,18717,0,10,0,0,0,,,,5,1,,,,,291,OK,,0,0,515,631,
api_bak,front01,0,0,0,4,,17575,6296367,7384585926,,0,,0,8,0,0,UP,1,1,0,14,14,118743,68781,,1,4,1,,17257,,2,0,,4,L7OK,200,9,21,17557,0,9,1,0,0,,,,7,0,,,,,378,OK,,0,0,608,731,
api_bak,BACKEND,0,0,0,11,300,56046,20291639,24205885854,0,0,,0,16,0,1,UP,3,3,0,,0,810791,0,,1,4,0,,53716,,1,0,,10,,,,0,56004,0,24,17,1,,,,,18,1,0,0,0,0,132,,,0,0,978,1145,
apps_back,apps01,0,0,0,16,,46636,27046668,272713355,,0,,0,1,0,0,UP,1,1,0,0,0,810791,0,,1,5,11,,13251,,2,0,,69,L7OK,200,33,0,44811,1572,252,0,0,0,,,,8,0,,,,,129,OK,,0,1,44,421,
apps_back,BACKEND,0,0,0,16,300,46636,27046668,272713355,0,0,,0,1,0,0,UP,1,1,0,,0,810791,0,,1,5,0,,13251,,1,0,,69,,,,0,44811,1572,252,1,0,,,,,8,0,0,0,0,0,129,,,0,1,44,421,
media_back,media01,0,0,0,13,,481479,258161691,15417533946,,0,,0,0,0,2,UP,1,1,0,0,5,174421,44411,,1,6,21,,481479,,2,0,,50,L7OK,200,7,0,452708,17850,10913,0,0,0,,,,716,0,,,,,17,OK,,0,1,15,450,
media_back,media02,0,0,0,30,,530926,284931201,19088674541,,0,,0,0,0,0,UP,1,1,0,11,5,206654,150,,1,6,22,,530926,,2,0,,129,L7OK,200,10,0,494599,16204,20103,9,0,0,,,,833,3,,,,,17,OK,,0,1,14,497,
media_back,BACKEND,0,0,0,33,300,1012861,543354858,34506305583,0,0,,458,0,0,2,UP,2,2,0,,5,206654,150,,1,6,0,,1012405,,1,0,,129,,,,0,947307,34054,31016,467,17,,,,,1549,3,0,0,0,0,17,,,0,1,15,401,
admin,FRONTEND,,,0,3,3000,195,168267,4183479,0,0,59,,,,,OPEN,,,,,,,,,1,7,0,,,,0,0,0,4,,,,0,103,0,95,82,0,,0,4,280,,,0,0,0,0,,,,,,,,
admin,BACKEND,0,0,0,1,300,82,168267,4183479,0,0,,82,0,0,0,UP,0,0,0,,0,810791,0,,1,7,0,,0,,1,0,,2,,,,0,0,0,0,82,0,,,,,0,0,0,0,0,0,115020,,,0,0,1,95,

